,Split1,Split2,Split3,Split4,Split5
0,0.007165330927819014,0.0002350193972233683,0.0008327595423907042,0.0002968963235616684,0.0003725081915035844
1,0.011196061037480831,0.00025651342002674937,0.0008831584127619863,0.000420678494265303,0.0002237199805676937
2,0.006774899084120989,0.000379222328774631,0.0009246999979950488,0.00033875927329063416,0.00022915693989489228
3,0.01566457934677601,0.0004143074038438499,0.0010820628376677632,0.0005279030301608145,0.00024321270757354796
4,0.005173280369490385,0.0004964204854331911,0.0009879466379061341,0.00028370515792630613,0.00026890987646766007
5,0.003324460471048951,0.00038140753167681396,0.0009778229286894202,0.00021624908549711108,0.0002872033801395446
6,0.0016215614741668105,0.000329515925841406,0.0009387818281538785,0.00015043186431284994,0.0002980992430821061
7,0.0041615585796535015,0.0003643882810138166,0.0010070822900161147,0.0001383836497552693,0.0003076587163377553
8,0.0025137842167168856,0.0003530143585521728,0.001070901402272284,0.00013108906568959355,0.0003043879405595362
9,0.0029416887555271387,0.00032234337413683534,0.0007701964350417256,0.00014479256060440093,0.0002908635069616139
10,0.00251971697434783,0.0003763602289836854,0.000813362596090883,0.000150070438394323,0.00027115584816783667
11,0.0018607580568641424,0.0003284916456323117,0.0006873775855638087,0.00015544753114227206,0.0002532743092160672
12,0.0016454963479191065,0.00037359597627073526,0.0006761702825315297,0.00015235987666528672,0.00023746829538140446
13,0.001538981101475656,0.0003089098900090903,0.0006636260077357292,0.00019251707999501377,0.00022549742425326258
14,0.001482954015955329,0.00037186729605309665,0.000669739325530827,0.0002603157772682607,0.0002177030110033229
15,0.001518162665888667,0.0003249965375289321,0.0007444647490046918,0.0002488700265530497,0.00021322730754036456
16,0.0015572841512039304,0.0003669567231554538,0.0006387000903487206,0.0002798979985527694,0.00021293264580890536
17,0.001612586434930563,0.0003355913213454187,0.0004994841874577105,0.0002552447549533099,0.00021469189960043877
18,0.0016492406139150262,0.0003684891853481531,0.0009505936177447438,0.00044141110265627503,0.00021868488693144172
19,0.0014387194532901049,0.00030962532036937773,0.0011636611307039857,0.00040787324542179704,0.00022347680351231247
20,0.0015208140248432755,0.00037345485179685056,0.0008291686535812914,0.00026975918444804847,0.0002335918543394655
21,0.0014410375151783228,0.0003282192919868976,0.0009838532423600554,0.0002476354129612446,0.0002452078915666789
22,0.0015273804310709238,0.0003482833271846175,0.0006690365262329578,0.0002897082013078034,0.00025268018362112343
23,0.001370190642774105,0.0003194498422089964,0.0006753734196536243,0.00017368818225804716,0.0002761837386060506
24,0.0014368019765242934,0.00034594431053847075,0.0007200110703706741,0.00021617955644614995,0.0002738652110565454
25,0.0014426772249862552,0.00033010306651704013,0.000609335140325129,0.00023833056911826134,0.0002718662144616246
26,0.001395474886521697,0.00034077823511324823,0.0006244206451810896,0.00022284648730419576,0.0002566713956184685
27,0.0014098535757511854,0.00032782816560938954,0.0006100666942074895,0.00014571117935702205,0.0002448450541123748
28,0.0014040314126759768,0.0003432502271607518,0.0006454126560129225,0.00015410086780320853,0.00023053708719089627
29,0.0014281374169513583,0.0003355501976329833,0.0008240548195317388,0.00014395135804079473,0.00021315919002518058
30,0.0013930706772953272,0.00033972805249504745,0.0006854117964394391,0.00014497822849079967,0.0002042348205577582
31,0.0013989722356200218,0.0003192592994309962,0.000938054290600121,0.00018245172395836562,0.00019288441399112344
32,0.001451877411454916,0.0003161308995913714,0.0012326253345236182,0.00023361339117400348,0.0001856038870755583
33,0.0013024628860875964,0.0003264400002080947,0.0013589538866654038,0.0002155115216737613,0.0001831595873227343
34,0.0013800509041175246,0.0003118105523753911,0.0013656120281666517,0.00018928681674879044,0.00018584411009214818
35,0.0014686915092170238,0.0003399353881832212,0.001495955977588892,0.00017020988161675632,0.00019680186233017594
36,0.0013171188766136765,0.0003074894775636494,0.001042796648107469,0.0001860051415860653,0.00020527964807115495
37,0.0013816218124702573,0.0003446563787292689,0.0009898928692564368,0.00019256184168625623,0.0002211137325502932
38,0.001494656316936016,0.0004032484721392393,0.0007449755212292075,0.00021770478633698076,0.00024565140483900905
39,0.001276494818739593,0.0003356234519742429,0.0007541679078713059,0.00021358681260608137,0.00030089120264165103
40,0.0014053733320906758,0.00038892883458174765,0.0008141338475979865,0.0003658587229438126,0.00031531474087387323
41,0.0015161724295467138,0.00032972474582493305,0.0008225089986808598,0.00037686352152377367,0.0003123983333352953
42,0.0013232533819973469,0.0003598037001211196,0.0008324272930622101,0.0003009128849953413,0.00024407279852312058
43,0.0014044378185644746,0.00025140514480881393,0.0008609594660811126,0.00023053442419040948,0.0002091640344588086
44,0.0015153450658544898,0.0004011747951153666,0.0008382101659663022,0.00025397478020749986,0.00018367193115409464
45,0.0013385076308622956,0.0003940430760849267,0.0008766391547396779,0.00018125939823221415,0.00018213402654509991
46,0.0014180524740368128,0.00021267788542900234,0.0008833474712446332,0.00023825248354114592,0.00017426410340704024
47,0.0015092112589627504,0.0003398795088287443,0.0009244495304301381,0.00027889286866411567,0.00017128419131040573
48,0.001330003491602838,0.0009315121569670737,0.0009303884580731392,0.00021904506138525903,0.0001717670529615134
49,0.0014269719831645489,0.0004239208938088268,0.0008951533236540854,0.000495490210596472,0.0001773717231117189
